Car_Type,Model_Year,Mileage_thousands_km,Engine_cc,Price_million_IRR
Samand,1388,9,1800,37.4
Pride,1396,208,1500,32.6
Dena,1403,39,1800,128.7
Tiba,1401,143,1500,36.3
Pride,1394,100,1500,44.5
Pride,1401,136,1500,28.9
Dena,1402,145,1800,157.9
Samand,1388,155,1800,56.7
Dena,1401,100,1800,105.6
Tiba,1402,99,1500,48.9
Samand,1401,32,1800,55.0
Samand,1387,45,1800,59.8
Samand,1401,133,1800,32.4
Pride,1397,206,1500,31.1
Tiba,1395,156,1500,27.7
Peugeot,1395,81,2000,71.8
Samand,1400,137,1800,44.3
Tiba,1394,66,1500,34.3
Dena,1393,131,1800,144.7
Samand,1396,23,1800,59.0
Dena,1394,119,1800,123.5
Peugeot,1403,199,2000,51.3
Pride,1395,20,1500,31.2
Samand,1391,59,1800,56.6
Peugeot,1400,147,2000,85.3
Pride,1400,47,1500,31.4
Samand,1402,188,1800,31.7
Dena,1388,0,1800,113.7
Samand,1386,166,1800,33.7
Tiba,1387,233,1500,44.5
Tiba,1390,16,1500,30.5
Peugeot,1394,150,2000,61.3
Dena,1385,89,1800,120.0
Samand,1388,244,1800,62.4
Dena,1398,4,1800,153.1
Samand,1388,29,1800,46.5
Peugeot,1390,246,2000,41.1
Tiba,1403,94,1500,42.1
Dena,1397,46,1800,102.3
Pride,1399,80,1500,44.6
Peugeot,1403,51,2000,52.9
Samand,1403,182,1800,51.0
Samand,1398,138,1800,34.8
Peugeot,1391,211,2000,52.8
Peugeot,1394,123,2000,53.9
Pride,1385,26,1500,42.9
Peugeot,1390,190,2000,61.8
Tiba,1400,205,1500,40.8
Peugeot,1387,249,2000,86.1
Peugeot,1392,80,2000,52.5
Samand,1385,185,1800,53.9
Peugeot,1389,174,2000,67.8
Samand,1391,50,1800,49.5
Samand,1386,169,1800,35.6
Tiba,1401,98,1500,52.6
Tiba,1389,95,1500,33.2
Samand,1402,224,1800,39.5
Dena,1388,193,1800,89.7
Dena,1391,208,1800,138.2
Samand,1399,27,1800,42.3
Dena,1390,213,1800,112.8
Tiba,1394,148,1500,54.3
Dena,1397,67,1800,83.2
Pride,1385,107,1500,28.8
Pride,1403,249,1500,22.2
Dena,1398,153,1800,115.8
Samand,1394,33,1800,32.4
Dena,1401,245,1800,88.8
Tiba,1387,180,1500,30.0
Samand,1392,66,1800,43.6
Samand,1393,60,1800,55.6
Pride,1394,100,1500,35.4
Dena,1402,243,1800,117.6
Dena,1385,143,1800,92.8
Dena,1397,242,1800,93.3
Tiba,1391,189,1500,44.8
Samand,1402,24,1800,40.9
Dena,1400,92,1800,134.2
Dena,1397,1,1800,117.6
Peugeot,1386,73,2000,66.2
Peugeot,1392,188,2000,91.0
Peugeot,1400,238,2000,90.6
Dena,1400,47,1800,86.2
Pride,1397,23,1500,27.3
Tiba,1389,76,1500,38.9
Samand,1396,171,1800,38.3
Tiba,1385,173,1500,26.3
Peugeot,1390,48,2000,44.7
Peugeot,1392,87,2000,82.3
Peugeot,1387,161,2000,70.8
Samand,1402,164,1800,31.7
Samand,1394,24,1800,41.3
Pride,1390,162,1500,30.6
Samand,1391,240,1800,32.6
Dena,1387,67,1800,108.6
Dena,1386,13,1800,159.1
Samand,1403,206,1800,59.4
Peugeot,1394,56,2000,60.3
Tiba,1389,159,1500,51.6
Peugeot,1386,171,2000,74.8
Pride,1399,175,1500,26.4
Peugeot,1402,9,2000,89.6
Tiba,1400,40,1500,27.4
Dena,1388,148,1800,82.1
Samand,1393,223,1800,33.3
Samand,1388,187,1800,30.5
Peugeot,1402,139,2000,101.4
Samand,1398,183,1800,59.9
Samand,1385,21,1800,45.6
Pride,1399,208,1500,32.0
Pride,1387,218,1500,22.8
Peugeot,1390,20,2000,105.4
Pride,1389,161,1500,42.2
Dena,1401,129,1800,99.3
Tiba,1391,124,1500,27.0
Dena,1385,41,1800,98.2
Pride,1389,33,1500,38.5
Peugeot,1393,211,2000,58.8
Tiba,1399,95,1500,32.8
Samand,1393,156,1800,57.2
Dena,1389,100,1800,143.0
Tiba,1387,129,1500,26.9
Pride,1394,157,1500,25.6
Samand,1387,126,1800,63.6
Dena,1396,113,1800,130.7
Tiba,1399,170,1500,36.9
Pride,1387,246,1500,20.7
Peugeot,1396,209,2000,60.3
Dena,1387,171,1800,102.7
Samand,1386,21,1800,51.6
Tiba,1390,191,1500,31.1
Pride,1392,136,1500,44.3
Pride,1400,208,1500,43.1
Peugeot,1388,194,2000,62.6
Peugeot,1386,179,2000,54.6
Tiba,1403,112,1500,32.5
Peugeot,1388,215,2000,43.7
Samand,1397,10,1800,47.4
Pride,1397,117,1500,37.4
Tiba,1393,150,1500,35.5
Tiba,1390,246,1500,38.8
Peugeot,1397,33,2000,44.6
Peugeot,1399,181,2000,42.2
Samand,1397,75,1800,37.1
Dena,1394,154,1800,139.1
Tiba,1401,15,1500,36.4
Peugeot,1385,94,2000,105.8
Pride,1397,168,1500,23.3
Tiba,1401,68,1500,26.9
Peugeot,1393,8,2000,79.2
Tiba,1388,143,1500,33.3
Pride,1393,129,1500,46.0
Tiba,1401,191,1500,54.9
Dena,1398,230,1800,133.6
Peugeot,1399,17,2000,101.9
Tiba,1402,250,1500,46.1
Tiba,1387,76,1500,37.7
Tiba,1400,4,1500,35.7
Tiba,1388,189,1500,53.6
Peugeot,1401,230,2000,73.5
Samand,1403,35,1800,55.1
Dena,1388,32,1800,150.6
Dena,1389,8,1800,150.9
Pride,1396,31,1500,40.0
Tiba,1403,76,1500,36.5
Peugeot,1393,117,2000,52.8
Tiba,1402,238,1500,40.1
Tiba,1388,203,1500,26.5
Samand,1396,41,1800,54.3
Pride,1399,217,1500,37.4
Samand,1396,175,1800,58.8
Dena,1397,219,1800,158.2
Pride,1394,232,1500,38.1
Dena,1402,219,1800,158.0
Pride,1397,172,1500,28.1
Peugeot,1389,194,2000,81.9
Samand,1401,129,1800,57.6
Pride,1394,229,1500,34.0
Tiba,1395,235,1500,39.2
Pride,1389,20,1500,41.2
Peugeot,1401,94,2000,89.0
Tiba,1401,172,1500,53.0
Samand,1396,220,1800,39.3
Peugeot,1395,202,2000,66.7
Samand,1398,1,1800,55.3
Tiba,1388,233,1500,26.5
Peugeot,1398,203,2000,91.2
Samand,1395,12,1800,38.7
Dena,1402,16,1800,132.6
Samand,1401,173,1800,49.6
Tiba,1395,26,1500,28.5
Samand,1387,43,1800,49.2
Samand,1392,104,1800,51.0
Dena,1401,119,1800,96.1
Tiba,1390,159,1500,44.8
Dena,1397,129,1800,124.2
Samand,1388,188,1800,63.6
Samand,1396,160,1800,48.7
Samand,1391,93,1800,47.6
Pride,1385,187,1500,29.7
Pride,1387,100,1500,35.0
Tiba,1399,203,1500,28.0
Tiba,1393,56,1500,33.1
Peugeot,1393,142,2000,85.1
Tiba,1394,78,1500,47.4
Peugeot,1388,65,2000,42.1
Tiba,1401,86,1500,45.8
Peugeot,1387,34,2000,67.4
Peugeot,1401,178,2000,98.2
Pride,1398,198,1500,29.3
Peugeot,1388,113,2000,65.2
Pride,1400,187,1500,41.6
Tiba,1395,129,1500,49.3
Tiba,1389,218,1500,40.6
Pride,1397,183,1500,44.8
Pride,1400,8,1500,45.2
