customer_id,tenure_months,monthly_charges,total_charges,num_support_tickets,contract_type,payment_method,internet_service,region,is_senior,has_phone_service,add_on_security,add_on_backup,add_on_streaming,churn
128,17,41.28,691.41,1,Month-to-month,Electronic check,None,North,0,0,0,1,0,1
862,50,71.18,3541.4,0,One year,Electronic check,Fiber,West,0,0,1,1,1,1
4892,52,77.74,4004.13,1,Month-to-month,Credit card,DSL,West,0,0,2,2,0,0
2815,70,74.02,5173.09,4,Month-to-month,Credit card,DSL,West,1,0,2,2,0,0
4124,54,88.74,4737.63,1,Month-to-month,Electronic check,Fiber,North,0,0,2,1,0,1
3866,22,89.76,1980.82,1,Month-to-month,Credit card,DSL,North,1,0,2,2,0,0
2374,53,82.45,4411.1,1,Month-to-month,Bank transfer,DSL,South,1,1,1,1,0,0
1592,49,84.76,4146.02,0,Month-to-month,Bank transfer,DSL,East,0,1,2,2,1,0
1086,4,75.15,423.71,0,One year,Bank transfer,None,East,1,0,0,1,2,1
2206,38,61.64,2362.99,2,One year,Credit card,Fiber,West,0,1,0,1,0,0
4763,21,84.37,1809.93,2,Two year,Bank transfer,Fiber,East,0,0,1,0,1,0
3731,68,89.82,6135.51,3,Two year,Electronic check,Fiber,West,1,1,0,2,0,0
3491,63,72.48,4499.26,3,One year,Electronic check,DSL,South,0,0,0,2,0,0
3869,65,58.86,3883.15,3,One year,Credit card,DSL,North,0,1,1,0,0,0
4526,1,86.82,23.25,2,One year,Credit card,Fiber,West,1,0,1,1,2,0
1708,44,69.33,2959.87,1,Month-to-month,Credit card,DSL,South,1,0,2,2,1,0
2626,70,69.6,4780.41,3,Month-to-month,Electronic check,Fiber,East,1,0,0,0,1,0
3500,22,92.14,2034.04,2,Two year,Electronic check,Fiber,East,1,0,0,0,1,0
3204,9,56.85,588.97,2,One year,Credit card,DSL,North,0,0,2,0,0,1
1235,3,102.6,336.81,0,Month-to-month,Electronic check,Fiber,West,0,1,1,2,0,1
2938,43,95.96,4129.75,1,Month-to-month,Electronic check,DSL,East,1,1,0,2,2,0
4065,30,68.12,2113.48,1,Month-to-month,Electronic check,DSL,South,0,0,0,1,1,0
3782,42,53.86,2321.14,1,Two year,Electronic check,None,West,0,0,1,1,1,0
1834,57,103.14,5857.61,0,Month-to-month,Mailed check,DSL,West,1,0,1,2,1,0
4862,28,97.02,2644.08,1,Two year,Credit card,Fiber,East,0,1,1,1,2,0
4696,39,101.15,3859.06,0,One year,Electronic check,Fiber,South,1,0,1,0,1,0
2484,4,91.69,359.08,2,Month-to-month,Bank transfer,Fiber,East,1,1,2,0,0,0
1077,14,121.23,1630.96,1,Month-to-month,Bank transfer,DSL,North,1,1,2,2,2,1
1167,25,73.34,1752.99,0,Two year,Credit card,DSL,East,1,0,1,0,2,0
4848,25,76.65,1889.7,0,One year,Electronic check,DSL,East,1,0,2,2,1,0
4358,0,46.12,0.0,2,Month-to-month,Bank transfer,None,North,0,0,2,2,0,0
2264,8,76.18,606.97,0,Month-to-month,Electronic check,DSL,East,0,1,2,1,0,0
150,12,87.67,1104.97,3,Month-to-month,Electronic check,Fiber,West,0,1,1,1,1,0
4772,58,101.99,5873.23,1,Month-to-month,Bank transfer,Fiber,North,0,0,0,2,0,0
1912,36,61.86,2263.15,1,Month-to-month,Credit card,Fiber,South,1,0,2,0,0,0
3488,58,62.3,3686.44,1,One year,Electronic check,DSL,North,1,0,1,0,2,0
758,55,64.37,3522.95,3,Two year,Credit card,Fiber,North,1,1,1,1,0,0
3225,10,57.56,561.34,1,Month-to-month,Electronic check,Fiber,South,0,1,0,0,0,0
406,42,80.45,3334.74,0,Two year,Bank transfer,DSL,West,1,0,2,1,2,0
4951,8,82.2,622.42,1,Month-to-month,Electronic check,Fiber,West,1,1,0,2,2,1
2230,47,93.22,4419.91,0,One year,Mailed check,Fiber,West,1,1,0,2,2,0
3216,7,79.83,515.5,0,One year,Electronic check,DSL,West,1,0,2,1,0,0
402,27,82.56,2191.97,1,Two year,Electronic check,DSL,South,0,0,0,2,2,0
37,3,89.75,320.12,2,Month-to-month,Mailed check,Fiber,West,0,0,2,0,1,0
2703,24,75.6,1804.79,2,Month-to-month,Credit card,Fiber,North,1,1,0,2,0,0
2454,61,96.16,5858.18,1,One year,Credit card,Fiber,North,1,1,2,0,0,0
4317,47,72.43,3399.73,2,Two year,Mailed check,Fiber,East,1,0,0,2,0,0
2194,64,61.14,3827.96,1,Month-to-month,Credit card,DSL,South,1,1,2,1,0,1
2078,67,41.15,2751.96,1,Month-to-month,Mailed check,None,West,0,1,0,1,0,0
805,10,91.74,866.98,1,Month-to-month,Credit card,Fiber,East,0,1,1,1,2,1
174,42,58.35,2464.76,1,Two year,Electronic check,DSL,West,1,1,0,0,0,0
2908,55,72.69,3967.41,0,Month-to-month,Bank transfer,Fiber,East,0,1,0,0,2,0
2238,41,59.08,2479.79,0,Month-to-month,Bank transfer,DSL,East,0,1,2,2,1,0
2285,38,79.9,2890.8,0,Month-to-month,Mailed check,Fiber,West,0,1,0,1,2,0
206,52,66.77,3519.61,3,Month-to-month,Electronic check,Fiber,East,0,0,0,1,1,0
4723,26,85.16,2226.78,1,Month-to-month,Credit card,Fiber,South,0,1,2,0,0,0
4727,34,91.47,3128.57,0,Two year,Electronic check,Fiber,East,1,1,0,1,0,0
3088,35,70.84,2524.97,1,Month-to-month,Electronic check,DSL,West,0,0,0,1,2,0
3764,64,81.6,5218.37,2,Month-to-month,Bank transfer,DSL,South,0,0,0,2,1,0
2597,6,47.47,296.91,1,Month-to-month,Electronic check,None,North,1,0,2,0,0,0
4847,42,69.54,3068.41,0,Month-to-month,Bank transfer,DSL,West,0,1,2,0,1,0
2221,58,79.55,4606.9,0,Month-to-month,Electronic check,Fiber,West,1,0,2,1,0,1
2492,53,73.38,3898.78,2,Month-to-month,Mailed check,DSL,East,1,1,0,0,2,0
360,15,70.36,1058.56,2,One year,Bank transfer,Fiber,South,1,1,1,0,0,0
3656,15,50.12,729.57,1,Month-to-month,Electronic check,DSL,East,0,1,2,2,0,0
849,9,134.8,1218.13,1,Month-to-month,Electronic check,Fiber,West,1,1,2,2,2,1
2665,68,39.53,2771.42,2,Month-to-month,Electronic check,DSL,North,1,1,1,0,0,0
4105,2,62.44,105.88,1,Two year,Bank transfer,Fiber,North,0,0,0,0,1,0
4329,12,79.51,969.08,2,Two year,Electronic check,None,North,0,0,2,2,1,0
1799,23,64.33,1508.82,0,One year,Credit card,DSL,South,0,1,1,1,0,1
3717,63,115.93,7293.16,0,One year,Electronic check,Fiber,East,0,1,1,1,2,1
62,42,79.66,3275.04,1,Month-to-month,Electronic check,Fiber,West,0,1,2,2,2,0
1339,58,69.16,3957.93,4,Two year,Electronic check,Fiber,East,0,1,0,1,1,0
573,65,105.24,6808.49,0,Month-to-month,Credit card,DSL,South,1,0,0,2,2,0
4548,57,72.29,4026.78,0,Month-to-month,Bank transfer,DSL,East,0,0,0,1,2,0
4077,18,69.96,1263.27,0,One year,Bank transfer,DSL,South,0,0,2,0,1,0
2468,29,72.46,2106.95,2,One year,Electronic check,DSL,South,0,0,2,1,2,0
1879,14,68.58,866.25,4,Month-to-month,Bank transfer,DSL,South,1,1,0,0,2,1
4803,3,69.29,155.25,0,Month-to-month,Bank transfer,DSL,East,1,0,1,0,2,1
2595,2,68.29,160.65,2,Month-to-month,Credit card,Fiber,West,1,0,0,1,0,0
320,41,72.18,2903.73,1,Two year,Electronic check,DSL,North,1,1,2,1,2,0
1750,23,100.35,2322.23,0,Month-to-month,Bank transfer,Fiber,East,1,1,1,1,2,1
2980,38,103.73,3972.4,0,Two year,Credit card,Fiber,North,1,1,0,2,2,0
3575,51,79.77,4036.57,3,Month-to-month,Mailed check,Fiber,East,1,0,0,0,2,1
1598,46,71.23,3352.34,1,Month-to-month,Electronic check,Fiber,North,1,0,0,2,1,0
4222,56,47.75,2663.65,1,Month-to-month,Electronic check,DSL,North,0,0,2,0,0,0
1979,13,83.37,1065.32,1,One year,Bank transfer,DSL,West,1,0,0,2,2,0
2951,46,56.56,2635.06,1,Month-to-month,Bank transfer,DSL,West,0,1,1,0,1,0
780,71,67.73,4791.59,1,Two year,Electronic check,Fiber,South,1,0,2,1,0,0
3653,24,70.81,1712.83,1,Month-to-month,Mailed check,DSL,West,1,1,2,2,0,0
1970,13,50.81,594.36,1,Month-to-month,Credit card,DSL,East,0,0,0,0,2,0
4004,67,68.91,4601.9,0,Month-to-month,Electronic check,DSL,South,0,1,1,1,1,0
3020,30,68.62,2149.92,4,Month-to-month,Bank transfer,DSL,East,1,1,2,1,1,1
437,36,90.95,3305.15,4,Month-to-month,Bank transfer,DSL,South,0,1,1,2,2,0
3278,35,60.89,2033.91,0,Month-to-month,Bank transfer,None,East,1,0,1,0,1,0
4478,37,88.53,3202.81,1,Month-to-month,Bank transfer,Fiber,East,1,1,1,1,0,0
1696,38,92.74,3555.79,2,Month-to-month,Electronic check,Fiber,South,1,1,2,1,0,1
3330,71,79.56,5607.68,1,Month-to-month,Credit card,Fiber,South,0,1,1,0,0,0
4808,27,72.67,1932.4,1,One year,Electronic check,DSL,East,1,1,2,0,1,0
2982,41,60.31,2477.34,1,Month-to-month,Mailed check,DSL,East,0,1,0,1,2,0
3902,20,86.48,1750.7,2,Two year,Mailed check,Fiber,South,0,1,2,2,0,0
1882,38,128.46,4873.06,0,One year,Bank transfer,Fiber,North,1,0,1,2,1,0
2844,63,95.58,6022.33,1,Month-to-month,Credit card,DSL,East,1,1,2,1,2,0
3370,37,108.17,4035.15,0,Month-to-month,Electronic check,Fiber,South,0,0,0,1,1,0
1969,49,108.86,5315.56,0,Month-to-month,Credit card,Fiber,North,0,1,1,1,2,1
2611,21,96.8,2033.91,0,Two year,Bank transfer,Fiber,North,1,0,1,1,2,1
2732,5,87.06,440.33,0,Month-to-month,Credit card,DSL,North,1,1,1,1,2,0
4420,63,68.71,4366.82,0,Month-to-month,Mailed check,DSL,West,1,0,1,2,1,0
375,60,98.98,5908.98,1,Month-to-month,Bank transfer,Fiber,East,1,1,2,1,2,0
4939,43,99.09,4273.73,0,One year,Bank transfer,Fiber,South,0,1,2,0,2,0
1207,71,103.97,7350.58,1,One year,Electronic check,Fiber,West,1,0,2,0,2,1
1127,0,72.31,0.0,1,Month-to-month,Electronic check,DSL,West,0,1,0,0,2,1
4732,1,89.79,57.41,3,Two year,Electronic check,DSL,North,0,1,1,2,0,0
3420,27,80.83,2218.28,4,Two year,Electronic check,Fiber,North,1,0,2,1,0,0
1341,22,89.69,2012.43,0,Month-to-month,Mailed check,Fiber,East,1,0,0,1,0,0
1648,35,105.59,3586.67,3,One year,Electronic check,DSL,South,1,1,2,2,2,0
3108,64,92.92,5937.03,3,One year,Bank transfer,DSL,South,0,0,1,2,2,0
3091,39,51.75,2030.79,2,Two year,Electronic check,DSL,West,1,1,0,0,1,0
4698,15,93.06,1410.96,0,Month-to-month,Credit card,Fiber,North,1,1,2,0,2,1
1859,55,71.98,3975.94,1,Month-to-month,Electronic check,Fiber,North,1,1,2,2,2,1
3057,11,71.89,839.34,1,One year,Credit card,DSL,North,0,1,0,1,2,0
911,59,95.1,5551.71,2,One year,Mailed check,Fiber,West,0,1,2,0,2,0
2562,7,77.81,517.36,0,One year,Electronic check,DSL,West,1,1,2,1,2,0
2455,6,101.88,605.42,2,One year,Mailed check,Fiber,South,0,1,2,1,1,0
140,47,64.68,3071.0,1,Month-to-month,Bank transfer,DSL,South,0,0,0,0,1,0
2157,64,90.1,5723.11,2,Month-to-month,Mailed check,Fiber,East,0,0,2,0,1,1
4578,10,105.89,1116.49,1,Month-to-month,Bank transfer,DSL,East,0,0,2,0,0,0
1277,1,55.58,60.25,3,Month-to-month,Electronic check,DSL,North,1,0,1,2,2,0
1325,52,57.82,3128.66,0,Month-to-month,Credit card,DSL,North,0,1,0,2,0,0
2398,17,41.18,768.39,1,Month-to-month,Electronic check,DSL,West,1,1,2,0,1,0
1719,48,88.27,4239.62,1,One year,Bank transfer,Fiber,East,1,0,1,1,1,0
4028,68,76.78,5237.08,0,One year,Bank transfer,Fiber,North,0,1,2,2,0,0
3552,28,74.74,2085.04,0,One year,Bank transfer,Fiber,South,0,1,0,1,2,0
185,65,88.7,5842.28,1,One year,Electronic check,DSL,West,0,0,1,2,0,0
618,14,107.56,1485.03,2,Month-to-month,Bank transfer,Fiber,North,1,0,2,2,0,1
4437,1,77.62,10.98,1,Two year,Electronic check,DSL,East,0,1,1,0,2,0
692,62,103.83,6439.29,2,Two year,Electronic check,Fiber,North,1,1,0,2,1,1
420,15,102.41,1581.6,1,Two year,Electronic check,Fiber,North,1,0,1,2,2,1
1878,46,89.69,4076.02,3,Month-to-month,Electronic check,DSL,North,1,1,2,2,1,0
2132,58,40.77,2434.5,5,One year,Bank transfer,DSL,North,1,0,0,1,0,0
3115,21,79.45,1698.44,1,Month-to-month,Electronic check,DSL,North,0,0,2,2,0,0
3490,57,64.53,3754.11,2,Month-to-month,Bank transfer,None,North,0,0,1,2,2,0
2802,10,92.43,921.97,2,Month-to-month,Bank transfer,Fiber,West,1,0,2,2,2,0
3286,43,70.81,3088.53,0,One year,Electronic check,Fiber,South,1,1,0,2,2,0
1559,18,75.41,1327.18,2,One year,Mailed check,Fiber,South,1,0,2,0,1,1
4999,14,65.16,855.18,2,Month-to-month,Electronic check,DSL,East,1,0,2,1,0,0
4083,57,65.32,3744.71,1,One year,Electronic check,DSL,East,0,0,1,2,2,0
4917,12,100.7,1248.47,1,One year,Credit card,Fiber,North,0,1,1,1,1,0
3354,36,75.18,2760.94,0,Month-to-month,Electronic check,Fiber,South,1,0,0,0,0,0
4726,3,64.02,76.58,0,Month-to-month,Bank transfer,Fiber,East,0,1,2,1,1,0
4324,46,50.72,2300.56,1,Month-to-month,Bank transfer,DSL,South,1,1,0,1,0,0
3672,62,50.94,3142.76,0,One year,Electronic check,None,East,0,1,0,2,0,0
4538,59,31.4,1873.57,1,Two year,Electronic check,None,South,0,1,2,0,0,0
4115,67,57.32,3816.2,2,One year,Credit card,DSL,North,1,1,2,0,0,0
4069,19,98.21,1910.44,1,Two year,Bank transfer,Fiber,West,1,0,1,2,2,0
2007,17,80.86,1387.64,1,Month-to-month,Bank transfer,DSL,West,0,1,2,1,2,0
3306,69,83.1,5737.69,0,Month-to-month,Electronic check,DSL,East,0,1,2,0,1,1
1522,61,78.21,4762.38,0,Month-to-month,Credit card,DSL,North,0,1,1,0,0,0
124,3,79.12,264.88,0,Month-to-month,Credit card,DSL,West,0,0,2,0,2,0
416,28,66.1,1856.36,1,Month-to-month,Credit card,None,North,1,0,2,1,1,0
3439,54,60.67,3307.31,2,Month-to-month,Mailed check,DSL,North,0,1,2,2,1,0
723,43,50.73,2124.29,3,Month-to-month,Electronic check,DSL,West,1,0,2,0,0,0
2418,8,66.3,498.59,1,Month-to-month,Mailed check,DSL,West,1,1,1,0,0,0
3900,19,95.76,1847.49,1,Month-to-month,Electronic check,Fiber,East,1,1,1,2,2,0
1630,59,118.25,7009.42,1,Month-to-month,Bank transfer,Fiber,North,1,1,1,2,2,1
380,49,67.24,3344.32,1,One year,Bank transfer,DSL,West,0,1,0,1,2,0
3207,39,53.11,2067.6,0,Month-to-month,Electronic check,DSL,West,0,1,1,0,0,0
1028,28,76.71,2128.13,0,Month-to-month,Electronic check,Fiber,West,0,1,0,1,2,1
800,10,72.55,746.13,1,One year,Electronic check,Fiber,West,1,0,1,0,1,0
582,8,51.37,472.24,0,Month-to-month,Electronic check,DSL,North,1,1,1,2,0,1
496,40,76.6,2966.18,1,Month-to-month,Electronic check,Fiber,East,1,1,2,0,1,1
4969,10,89.24,904.76,1,Month-to-month,Electronic check,Fiber,East,1,1,0,1,2,0
697,58,89.05,5150.25,1,One year,Electronic check,Fiber,West,0,0,2,0,0,0
1197,13,72.35,961.77,2,Month-to-month,Bank transfer,DSL,East,1,0,1,0,0,0
3198,3,91.19,277.05,1,Month-to-month,Electronic check,Fiber,North,1,1,2,2,0,1
2074,34,45.3,1521.82,2,Two year,Credit card,DSL,South,1,0,0,0,0,0
3836,16,80.06,1277.33,2,Month-to-month,Electronic check,Fiber,East,1,0,0,2,2,1
4906,32,70.82,2190.69,2,One year,Bank transfer,Fiber,West,0,0,1,0,0,0
1946,31,78.63,2475.29,1,Two year,Bank transfer,Fiber,West,0,1,0,2,2,0
2796,66,111.66,7330.76,2,One year,Bank transfer,Fiber,East,0,1,2,0,0,0
4891,1,59.5,9.24,1,Month-to-month,Credit card,None,East,1,1,0,1,0,0
3982,18,80.35,1381.7,4,Month-to-month,Credit card,DSL,East,0,1,1,1,2,0
158,10,109.38,1076.12,4,One year,Credit card,Fiber,South,0,0,2,1,2,0
1793,0,90.75,11.85,2,Month-to-month,Bank transfer,Fiber,South,0,1,0,1,0,1
3193,18,63.85,1084.52,1,One year,Electronic check,DSL,North,0,1,0,0,1,1
1609,33,87.38,2809.97,1,Month-to-month,Electronic check,DSL,North,0,1,2,2,2,0
3055,49,60.91,3021.65,0,One year,Mailed check,DSL,North,1,0,2,0,1,0
4129,62,73.69,4533.81,1,One year,Electronic check,None,South,1,0,2,2,1,0
2459,56,86.84,4822.99,1,Month-to-month,Electronic check,Fiber,East,1,1,0,2,2,1
4816,57,86.01,4952.61,1,Month-to-month,Electronic check,Fiber,North,1,1,0,0,1,1
343,23,67.3,1541.39,2,Two year,Mailed check,DSL,East,1,1,1,1,0,0
2430,43,90.86,3894.27,1,One year,Mailed check,DSL,South,1,0,1,2,1,0
2256,64,64.74,4062.81,1,Month-to-month,Electronic check,None,South,1,0,0,2,2,0
4552,71,34.41,2351.8,1,One year,Electronic check,DSL,North,1,0,0,1,1,0
1507,15,100.11,1399.4,3,One year,Mailed check,Fiber,South,0,1,1,1,0,1
264,42,67.06,2776.59,2,Month-to-month,Mailed check,DSL,South,1,1,2,1,0,0
1975,27,64.02,1712.91,2,Month-to-month,Credit card,DSL,West,1,0,1,0,0,0
3217,49,56.37,2800.61,1,Month-to-month,Mailed check,None,East,0,1,1,2,0,0
2391,38,65.8,2542.96,2,One year,Electronic check,DSL,East,1,1,2,2,1,0
